g2_n_id,att1,att2,att3,att4,att5,att6,att7,att8
69702,4,4,4,3,5,2,3,5
60885,4,5,4,3,4,1,2,2
104239,3,2,5,2,1,4,5,5
107725,5,3,3,5,3,1,4,1
61000,3,1,5,1,5,3,1,4
76755,4,4,5,2,5,2,2,5
107912,3,1,2,2,3,1,5,1
96885,4,2,3,5,5,3,5,2
79562,4,3,1,3,5,2,1,1
90229,4,5,1,1,1,1,2,2
60183,1,2,4,2,3,1,2,3
86636,2,3,5,5,1,2,1,1
61702,4,4,1,3,1,1,3,4
93458,2,3,4,3,4,3,1,1
93339,1,1,3,3,2,3,1,2
114278,5,4,5,4,3,2,5,2
90453,4,3,1,1,1,2,2,4
109724,1,5,2,2,4,3,5,2
114014,3,5,2,2,1,4,1,4
79867,3,2,1,5,4,3,3,1
72243,1,5,5,1,5,3,2,2
76469,5,2,1,4,2,4,4,5
91464,4,2,3,5,4,5,3,3
104015,2,3,2,5,4,3,1,4
88317,1,5,3,5,1,5,4,4
79240,3,4,5,5,5,1,5,4
110934,1,2,4,5,2,5,4,5
82755,2,2,2,1,3,1,5,4
63610,4,5,1,5,4,4,2,5
102614,5,5,3,4,5,4,4,4
101205,3,1,1,3,5,2,4,2
80139,2,3,4,1,1,2,2,2
100447,1,3,2,3,5,4,1,1
108854,4,1,2,4,4,1,2,5
115400,2,4,4,1,5,1,4,3
87954,1,3,4,1,4,1,4,1
87031,3,5,4,4,2,2,4,2
74302,5,5,3,2,1,1,2,5
82222,3,1,1,1,2,1,3,4
71579,1,2,2,3,3,1,2,5
84275,3,1,4,1,5,2,1,1
105727,4,4,4,3,5,5,1,4
108325,5,2,1,3,1,3,5,2
113485,3,2,5,2,1,3,1,4
62187,1,5,2,2,3,1,5,5
77921,2,1,2,4,1,1,4,1
109020,5,3,1,2,1,4,4,5
106479,1,4,3,1,1,4,4,3
71479,4,4,3,2,2,1,4,4
107434,4,1,4,1,1,3,2,3
59219,1,2,4,1,4,1,3,2
102827,3,4,5,1,1,2,2,3
88480,5,1,3,5,4,4,3,4
73158,1,4,5,2,2,1,4,4
77549,1,4,1,1,5,3,3,3
85684,4,2,4,2,4,4,5,1
62439,3,2,2,3,1,3,2,4
103154,1,2,5,4,3,4,5,4
112335,5,2,3,2,4,4,2,2
62552,4,3,1,5,5,5,2,5
61048,3,5,4,4,1,3,2,4
60910,1,4,2,3,3,1,3,4
79194,4,5,1,4,4,5,3,5
64797,1,3,2,2,2,5,4,2
99181,5,2,2,3,5,3,3,4
92543,1,4,5,4,1,3,3,5
58235,5,5,1,3,3,2,5,2
98775,4,5,3,4,2,5,3,1
109930,2,4,2,1,1,5,5,2
72663,3,2,5,2,1,5,1,5
102493,2,5,4,4,2,1,1,5
77169,1,4,4,1,1,1,5,3
75811,4,1,4,4,5,2,1,2
73259,1,5,3,2,4,5,4,4
84981,5,4,1,1,4,5,4,3
114954,3,4,4,3,3,5,2,2
67969,2,2,2,4,4,2,3,2
111612,4,1,3,3,2,4,2,1
105460,3,5,2,2,2,3,1,4
61163,1,3,3,1,4,4,4,3
95288,2,3,1,4,2,1,5,4
114470,1,1,4,1,4,3,5,5
65881,1,4,3,2,1,5,5,5
74377,2,2,4,3,3,4,5,5
91626,1,3,5,2,3,4,1,5
101021,5,1,3,2,4,3,1,2
76216,4,4,1,4,2,3,5,3
62407,4,1,2,5,4,2,1,2
98165,3,5,5,1,2,4,1,5
111605,1,1,2,3,1,5,1,1
109140,5,2,3,5,4,4,2,2
65760,4,2,2,3,5,5,4,4
85611,5,5,4,3,5,5,4,1
102412,3,2,5,4,1,4,4,4
112225,1,5,3,4,3,1,4,4
58792,1,4,2,1,2,3,2,5
109723,2,1,4,4,5,5,1,1
95828,3,3,4,1,4,5,4,5
99243,2,1,2,4,4,2,2,5
75639,4,1,2,5,2,5,3,3
98509,2,4,1,4,3,4,4,2
99360,2,1,3,4,4,1,2,3
81113,3,1,1,5,5,3,4,3
103920,1,1,3,2,1,5,5,1
75129,1,3,5,5,2,2,4,4
73806,3,2,4,4,4,1,5,4
114181,3,1,3,3,5,4,4,5
93835,2,1,1,5,2,3,3,3
62241,4,4,2,5,2,5,3,4
63548,1,5,4,2,5,5,2,5
110756,1,1,1,4,2,1,2,5
69975,1,1,4,2,2,1,2,5
96571,2,5,2,1,5,5,2,1
80408,1,1,3,4,5,4,4,1
68844,4,2,3,1,3,1,1,4
71640,5,4,5,4,2,2,3,3
78587,3,2,5,4,5,2,3,3
77402,5,3,5,2,4,5,4,3
71731,1,3,1,5,5,1,4,1
58361,1,4,1,4,5,2,5,4
77653,3,1,4,2,2,1,2,1
61829,4,1,4,5,4,3,5,2
81713,5,5,5,1,1,2,1,4
92801,3,2,4,5,2,2,5,2
89260,3,2,3,1,1,3,1,4
66791,3,2,4,1,5,5,5,4
93740,5,2,2,2,5,4,4,1
85089,4,4,5,5,5,5,2,3
102743,5,2,2,1,2,1,3,1
59334,3,2,4,4,4,2,2,2
67644,2,1,3,4,4,4,3,2
